Replicon Accession	Start	Stop	Strand	Locus tag	Length
NW_013524646.1	743684	744247	+	NEPG_00519	187
NW_013524646.1	745038	746780	-	NEPG_00520	580
NW_013524646.1	746806	747405	-	NEPG_00521	199
NW_013524646.1	747471	748568	-	NEPG_00522	365
NW_013524646.1	748828	752964	-	NEPG_00523	1378
NW_013524646.1	753437	754366	-	NEPG_00524	309
NW_013524646.1	754399	754911	-	NEPG_00525	170
NW_013524646.1	755147	755416	-	NEPG_00526	89
NW_013524646.1	755449	755976	+	NEPG_00527	175
NW_013524646.1	756578	757036	-	NEPG_00528	152
NW_013524646.1	757085	759055	-	NEPG_00529	656
NW_013524646.1	759155	759433	+	NEPG_00530	92
NW_013524646.1	760307	760759	+	NEPG_00531	150
NW_013524646.1	761171	762082	+	NEPG_00532	303
NW_013524646.1	762152	762631	+	NEPG_00533	159
NW_013524646.1	762652	763488	+	NEPG_00534	278
NW_013524646.1	764564	765016	+	NEPG_00535	150
NW_013524646.1	765043	765855	+	NEPG_00536	270
NW_013524646.1	766060	766626	+	NEPG_00537	188
NW_013524646.1	767242	768117	+	NEPG_00538	291
NW_013524646.1	770273	771202	-	NEPG_00539	309
NW_013524646.1	771321	771536	-	NEPG_00540	71
NW_013524646.1	774276	774632	+	NEPG_00541	118
NW_013524646.1	774805	775746	-	NEPG_00542	313
NW_013524646.1	775829	776917	-	NEPG_00543	362
NW_013524646.1	777087	779693	-	NEPG_00544	868
NW_013524646.1	780876	782444	-	NEPG_00545	522
NW_013524646.1	785442	787097	-	NEPG_00546	551
NW_013524646.1	787670	790393	-	NEPG_00547	907
NW_013524646.1	790910	792061	+	NEPG_00548	383
NW_013524646.1	792099	793130	+	NEPG_00549	343
NW_013524646.1	793344	793571	-	NEPG_00550	75
NW_013524646.1	793624	794397	+	NEPG_00551	257
NW_013524646.1	794397	794585	+	NEPG_00552	62
NW_013524646.1	794605	795096	+	NEPG_00553	163
NW_013524646.1	795444	796169	+	NEPG_00554	241
NW_013524646.1	796909	797358	+	NEPG_00555	149
NW_013524646.1	797383	799944	+	NEPG_00556	853
NW_013524646.1	800400	800693	-	NEPG_00557	97
NW_013524646.1	800708	801265	+	NEPG_00558	185
NW_013524646.1	801645	803117	+	NEPG_00559	490
NW_013524646.1	803427	803696	-	NEPG_00560	89
NW_013524646.1	803771	806176	-	NEPG_00561	801
NW_013524646.1	809240	810037	+	NEPG_00562	265
NW_013524646.1	811315	812328	-	NEPG_00563	337
NW_013524646.1	812355	814169	+	NEPG_00564	604
NW_013524646.1	814631	815419	-	NEPG_00565	262
NW_013524646.1	815580	815882	-	NEPG_00566	100
NW_013524646.1	816199	817488	-	NEPG_00567	429
NW_013524646.1	817575	818447	+	NEPG_00568	290
NW_013524646.1	819201	819791	-	NEPG_00569	196
NW_013524646.1	820061	821296	-	NEPG_00570	411
NW_013524646.1	821449	822084	+	NEPG_00571	211
NW_013524646.1	822298	822924	-	NEPG_00572	208
NW_013524646.1	823355	824524	+	NEPG_00573	389
NW_013524646.1	825239	825802	+	NEPG_00574	187
NW_013524646.1	825936	826208	+	NEPG_00575	90
NW_013524646.1	826827	827414	-	NEPG_00576	195
NW_013524646.1	828041	828589	-	NEPG_00577	182
NW_013524646.1	828824	830056	-	NEPG_00578	410
NW_013524646.1	830149	831321	+	NEPG_00579	390
NW_013524646.1	831374	831592	+	NEPG_00580	72
NW_013524646.1	831755	832537	+	NEPG_00581	260
NW_013524646.1	833233	834963	+	NEPG_00582	576
NW_013524646.1	834979	835353	-	NEPG_00583	124
NW_013524646.1	835551	836024	-	NEPG_00584	157
NW_013524646.1	836101	836709	-	NEPG_00585	202
NW_013524646.1	837304	838089	-	NEPG_00586	261
NW_013524646.1	838198	839391	+	NEPG_00587	397
NW_013524646.1	839885	840430	-	NEPG_00588	181
NW_013524646.1	840613	841107	-	NEPG_00589	164
NW_013524646.1	841137	841763	+	NEPG_00590	208
NW_013524646.1	841823	842527	+	NEPG_00591	234
NW_013524646.1	843048	844589	+	NEPG_00592	513
NW_013524646.1	845394	848237	-	NEPG_00593	947
NW_013524646.1	848537	849058	-	NEPG_00594	173
NW_013524646.1	849241	850329	-	NEPG_00595	362
NW_013524646.1	850354	852792	+	NEPG_00596	812
NW_013524646.1	853386	854084	-	NEPG_00597	232
NW_013524646.1	854209	854445	-	NEPG_00598	78
NW_013524646.1	854558	856573	-	NEPG_00599	671
NW_013524646.1	857006	857833	+	NEPG_00600	275
NW_013524646.1	858063	858761	+	NEPG_00601	232
NW_013524646.1	859281	860930	+	NEPG_00602	549
NW_013524646.1	861267	862103	-	NEPG_00603	278
NW_013524646.1	862641	863957	+	NEPG_00604	438
NW_013524646.1	864117	864587	+	NEPG_00605	156
NW_013524646.1	865027	865284	+	NEPG_00606	85
NW_013524646.1	865290	866129	+	NEPG_00607	279
NW_013524646.1	866552	867182	-	NEPG_00608	209
NW_013524646.1	867286	868701	+	NEPG_00609	471
NW_013524646.1	869436	870041	+	NEPG_00610	201
NW_013524646.1	870083	870577	+	NEPG_00611	164
NW_013524646.1	870898	872700	-	NEPG_00612	600
NW_013524646.1	873001	874458	-	NEPG_00613	485
NW_013524646.1	875303	876010	-	NEPG_00614	235
NW_013524646.1	875994	876605	+	NEPG_00615	203
NW_013524646.1	876835	878019	+	NEPG_00616	394
NW_013524646.1	878066	878716	-	NEPG_00617	216
NW_013524646.1	879683	880666	-	NEPG_00618	327
NW_013524646.1	882083	883732	-	NEPG_00619	549
NW_013524646.1	883957	884334	+	NEPG_00620	125
NW_013524646.1	885033	886103	-	NEPG_00621	356
NW_013524646.1	887097	887900	+	NEPG_00622	267
NW_013524646.1	889232	891487	+	NEPG_00623	751
NW_013524646.1	891890	895024	+	NEPG_00624	1044
NW_013524646.1	895584	896246	+	NEPG_00625	220
NW_013524646.1	896871	899774	+	NEPG_00626	967
NW_013524646.1	900572	902746	+	NEPG_00627	724
NW_013524646.1	903089	903310	-	NEPG_00628	73
NW_013524646.1	903401	905566	+	NEPG_00629	721
NW_013524646.1	906359	906571	+	NEPG_00630	70
NW_013524646.1	906798	909434	+	NEPG_00631	878
NW_013524646.1	910166	911176	+	NEPG_00632	336
NW_013524646.1	911769	914009	+	NEPG_00633	746
NW_013524646.1	914685	914843	-	NEPG_00634	52
NW_013524646.1	914894	917611	-	NEPG_00635	905
NW_013524646.1	918378	920462	+	NEPG_00636	694
NW_013524646.1	920991	923156	+	NEPG_00637	721
NW_013524646.1	923561	925774	+	NEPG_00638	737
NW_013524646.1	926283	928160	-	NEPG_00639	625
NW_013524646.1	928618	931404	+	NEPG_00640	928
NW_013524646.1	932090	932275	+	NEPG_00641	61
NW_013524646.1	932625	935267	+	NEPG_00642	880
NW_013524646.1	935333	935677	+	NEPG_00643	114
NW_013524646.1	935743	935976	+	NEPG_00644	77
NW_013524646.1	936254	937168	+	NEPG_00645	304
NW_013524646.1	937135	937404	+	NEPG_00646	89
NW_013524646.1	937620	938807	+	NEPG_00647	395
NW_013524646.1	940660	941016	+	NEPG_00648	118
NW_013524646.1	941484	942377	+	NEPG_00649	297
NW_013524646.1	942410	942667	+	NEPG_00650	85
NW_013524646.1	943008	945932	+	NEPG_00651	974
NW_013524646.1	946410	948578	+	NEPG_00652	722
NW_013524646.1	949498	951942	+	NEPG_00653	814
NW_013524646.1	952854	954566	+	NEPG_00654	571
NW_013524647.1	459	1094	-	NEPG_00655	211
NW_013524647.1	1874	4588	-	NEPG_00656	904
NW_013524647.1	5285	8062	-	NEPG_00657	925
NW_013524647.1	9397	10266	-	NEPG_00658	289
NW_013524647.1	10828	13854	-	NEPG_00659	1008
NW_013524647.1	14225	14377	+	NEPG_00660	50
NW_013524647.1	15149	15592	+	NEPG_00661	147
NW_013524647.1	16296	18449	-	NEPG_00662	717
NW_013524647.1	19714	21318	+	NEPG_00663	534
NW_013524647.1	21470	24067	-	NEPG_00664	865
NW_013524647.1	24535	25967	+	NEPG_00665	476
NW_013524647.1	26306	26503	-	NEPG_00666	65
NW_013524647.1	26873	27457	+	NEPG_00667	194
NW_013524647.1	28237	28899	+	NEPG_00668	220
NW_013524647.1	29079	29696	-	NEPG_00669	205
NW_013524647.1	29933	30376	-	NEPG_00670	147
NW_013524647.1	30584	31645	-	NEPG_00671	353
NW_013524647.1	32269	33570	-	NEPG_00672	433
NW_013524647.1	33605	34300	-	NEPG_00673	231
NW_013524647.1	34363	35070	+	NEPG_00674	235
NW_013524647.1	35345	35500	-	NEPG_00675	51
NW_013524647.1	35451	35942	-	NEPG_00676	163
NW_013524647.1	35976	36728	-	NEPG_00677	250
NW_013524647.1	37673	39763	-	NEPG_00678	696
NW_013524647.1	39784	40437	+	NEPG_00679	217
NW_013524647.1	40795	41913	+	NEPG_00680	372
NW_013524647.1	42484	42828	-	NEPG_00681	114
NW_013524647.1	42934	44364	-	NEPG_00682	476
NW_013524647.1	44905	48120	+	NEPG_00683	1071
NW_013524647.1	48973	49527	-	NEPG_00684	184
NW_013524647.1	50357	51379	+	NEPG_00685	340
NW_013524647.1	51425	52132	+	NEPG_00686	235
NW_013524647.1	52524	54182	+	NEPG_00687	552
NW_013524647.1	54787	55302	+	NEPG_00688	171
NW_013524647.1	55401	56996	+	NEPG_00689	531
NW_013524647.1	57450	58877	+	NEPG_00690	475
NW_013524647.1	59358	60326	-	NEPG_00691	322
NW_013524647.1	60507	61277	+	NEPG_00692	256
NW_013524647.1	61514	62026	-	NEPG_00693	170
NW_013524647.1	62140	63525	+	NEPG_00694	461
NW_013524647.1	64121	64306	-	NEPG_00695	61
NW_013524647.1	64355	65566	+	NEPG_00696	403
NW_013524647.1	66228	67019	-	NEPG_00697	263
NW_013524647.1	67073	68404	+	NEPG_00698	443
NW_013524647.1	69270	70682	+	NEPG_00699	470
NW_013524647.1	71052	71522	-	NEPG_00700	156
NW_013524647.1	72149	73177	+	NEPG_00701	342
NW_013524647.1	73874	74023	+	NEPG_00702	49
NW_013524647.1	74020	74358	-	NEPG_00703	112
NW_013524647.1	74452	74949	+	NEPG_00704	165
NW_013524647.1	74890	75822	-	NEPG_00705	310
NW_013524647.1	78248	78868	+	NEPG_00706	206
NW_013524647.1	79255	79857	+	NEPG_00707	200
NW_013524647.1	80078	80230	+	NEPG_00708	50
NW_013524647.1	82403	83254	+	NEPG_00709	283
NW_013524647.1	84068	86125	+	NEPG_00710	685
NW_013524647.1	87105	87806	-	NEPG_00711	233
NW_013524647.1	88507	88965	-	NEPG_00712	152
NW_013524647.1	90419	92503	+	NEPG_00713	694
NW_013524647.1	92970	93227	-	NEPG_00714	85
NW_013524647.1	93294	93761	-	NEPG_00715	155
NW_013524647.1	94069	95325	+	NEPG_00716	418
NW_013524647.1	97108	98331	+	NEPG_00718	407
NW_013524647.1	98388	99032	+	NEPG_00719	214
NW_013524647.1	99479	101611	+	NEPG_00720	710
NW_013524647.1	101562	101774	-	NEPG_00721	70
NW_013524647.1	102113	103498	-	NEPG_00722	461
NW_013524647.1	103604	104173	+	NEPG_00723	189
NW_013524647.1	104538	105494	+	NEPG_00724	318
NW_013524647.1	105545	105937	-	NEPG_00725	130
NW_013524647.1	106394	106657	+	NEPG_00726	87
NW_013524647.1	107035	108192	+	NEPG_00727	385
NW_013524647.1	108249	108740	+	NEPG_00728	163
NW_013524647.1	108917	109525	+	NEPG_00729	202
NW_013524647.1	109938	110639	-	NEPG_00730	233
NW_013524647.1	111114	112589	-	NEPG_00731	491
NW_013524647.1	112867	113175	-	NEPG_00732	102
NW_013524647.1	113172	113345	-	NEPG_00733	57
NW_013524647.1	113423	113980	-	NEPG_00734	185
NW_013524647.1	114353	114625	-	NEPG_00735	90
NW_013524647.1	115491	116849	+	NEPG_00736	452
NW_013524647.1	117130	118020	-	NEPG_00737	296
NW_013524647.1	118272	120506	+	NEPG_00738	744
NW_013524647.1	120997	122553	+	NEPG_00739	518
NW_013524647.1	123337	124101	-	NEPG_00740	254
NW_013524647.1	124167	125168	+	NEPG_00741	333
NW_013524647.1	125211	125480	-	NEPG_00742	89
NW_013524647.1	125944	126477	-	NEPG_00743	177
NW_013524647.1	126517	128613	+	NEPG_00744	698
NW_013524647.1	128728	131136	-	NEPG_00745	802
NW_013524647.1	132273	132938	-	NEPG_00746	221
NW_013524647.1	133999	138837	-	NEPG_00747	1612
NW_013524647.1	139400	140485	-	NEPG_00748	361
NW_013524647.1	142015	144933	-	NEPG_00749	972
NW_013524647.1	146904	147263	+	NEPG_00751	119
NW_013524647.1	147413	148960	-	NEPG_00752	515
NW_013524647.1	149487	150584	-	NEPG_00753	365
NW_013524647.1	150848	151003	-	NEPG_00754	51
NW_013524647.1	151339	151806	+	NEPG_00755	155
NW_013524647.1	151840	152361	+	NEPG_00756	173
NW_013524647.1	152464	152790	-	NEPG_00757	108
NW_013524647.1	153234	154031	-	NEPG_00758	265
NW_013524647.1	154198	154884	-	NEPG_00759	228
NW_013524647.1	154951	155541	-	NEPG_00760	196
NW_013524647.1	155907	158564	+	NEPG_00761	885
NW_013524647.1	158935	159486	-	NEPG_00762	183
NW_013524647.1	159703	160158	+	NEPG_00763	151
NW_013524647.1	160371	161399	+	NEPG_00764	342
NW_013524647.1	161539	163194	-	NEPG_00765	551
NW_013524647.1	163242	163688	-	NEPG_00766	148
NW_013524647.1	164266	165225	+	NEPG_00767	319
NW_013524647.1	165266	165793	+	NEPG_00768	175
NW_013524647.1	165818	166801	+	NEPG_00769	327
NW_013524647.1	167716	168147	+	NEPG_00770	143
NW_013524647.1	168441	169193	-	NEPG_00771	250
NW_013524647.1	169970	172426	-	NEPG_00772	818
NW_013524647.1	172517	173839	+	NEPG_00773	440
NW_013524647.1	175177	175395	+	NEPG_00774	72
NW_013524647.1	175436	176470	+	NEPG_00775	344
NW_013524647.1	176518	176871	+	NEPG_00776	117
NW_013524647.1	177531	178664	-	NEPG_00777	377
NW_013524647.1	178697	180181	+	NEPG_00778	494
NW_013524647.1	180610	181188	-	NEPG_00779	192
NW_013524647.1	181205	181519	+	NEPG_00780	104
NW_013524647.1	181588	182607	+	NEPG_00781	339
NW_013524647.1	182663	183421	-	NEPG_00782	252
NW_013524647.1	184273	185142	-	NEPG_00783	289
NW_013524647.1	185342	186259	-	NEPG_00784	305
NW_013524647.1	186488	187099	-	NEPG_00785	203
NW_013524647.1	187887	188690	-	NEPG_00786	267
NW_013524647.1	188721	191489	+	NEPG_00787	922
NW_013524647.1	191644	192495	-	NEPG_00788	283
NW_013524647.1	192505	193176	+	NEPG_00789	223
NW_013524647.1	193442	196453	+	NEPG_00790	1003
NW_013524647.1	196791	197447	-	NEPG_00791	218
NW_013524647.1	197727	199690	-	NEPG_00792	653
NW_013524647.1	199802	200036	-	NEPG_00793	77
NW_013524647.1	200054	201256	+	NEPG_00794	400
NW_013524647.1	201314	201874	+	NEPG_00795	186
NW_013524647.1	202314	204170	-	NEPG_00796	618
NW_013524647.1	204195	204923	-	NEPG_00797	242
NW_013524647.1	205263	205541	-	NEPG_00798	92
NW_013524647.1	205870	207084	+	NEPG_00799	404
NW_013524647.1	207472	208185	+	NEPG_00800	237
NW_013524647.1	208978	209301	+	NEPG_00801	107
NW_013524647.1	209398	209793	+	NEPG_00802	131
NW_013524647.1	210151	210408	-	NEPG_00803	85
NW_013524647.1	211535	212131	+	NEPG_00804	198
NW_013524647.1	212572	212973	+	NEPG_00805	133
NW_013524647.1	213389	216391	-	NEPG_00806	1000
NW_013524647.1	216788	217819	-	NEPG_00807	343
NW_013524647.1	218379	218912	-	NEPG_00808	177
NW_013524647.1	218983	219201	-	NEPG_00809	72
NW_013524647.1	219207	219722	-	NEPG_00810	171
NW_013524647.1	220159	221142	-	NEPG_00811	327
NW_013524647.1	221262	222176	+	NEPG_00812	304
NW_013524647.1	222534	224045	-	NEPG_00813	503
NW_013524647.1	224562	225203	-	NEPG_00814	213
NW_013524647.1	225230	226003	-	NEPG_00815	257
NW_013524647.1	226063	226581	-	NEPG_00816	172
NW_013524647.1	226676	227158	-	NEPG_00817	160
NW_013524647.1	227173	228000	-	NEPG_00818	275
NW_013524647.1	228743	229681	+	NEPG_00819	312
NW_013524647.1	229722	230186	-	NEPG_00820	154
NW_013524647.1	230595	232037	-	NEPG_00821	480
NW_013524647.1	232310	233185	+	NEPG_00822	291
NW_013524647.1	233699	234499	+	NEPG_00823	266
NW_013524647.1	234424	236775	+	NEPG_00824	783
NW_013524647.1	237421	237579	+	NEPG_00825	52
NW_013524647.1	237609	239060	-	NEPG_00826	483
NW_013524647.1	239528	240937	+	NEPG_00827	469
NW_013524647.1	241236	242432	+	NEPG_00828	398
NW_013524647.1	243102	244541	-	NEPG_00829	479
NW_013524647.1	245217	246806	-	NEPG_00830	529
NW_013524647.1	246834	247850	+	NEPG_00831	338
NW_013524647.1	248180	249145	+	NEPG_00832	321
NW_013524647.1	249273	250154	-	NEPG_00833	293
NW_013524647.1	251727	252584	-	NEPG_00834	285
NW_013524647.1	252787	254712	-	NEPG_00835	641
NW_013524647.1	257403	258062	-	NEPG_00836	219
NW_013524647.1	258104	260482	-	NEPG_00837	792
NW_013524647.1	260519	260782	+	NEPG_00838	87
NW_013524647.1	260859	262397	+	NEPG_00839	512
NW_013524647.1	262525	263541	+	NEPG_00840	338
NW_013524647.1	263878	264825	+	NEPG_00841	315
NW_013524647.1	264848	266011	+	NEPG_00842	387
NW_013524647.1	266155	267348	+	NEPG_00843	397
NW_013524647.1	267411	267926	+	NEPG_00844	171
NW_013524647.1	268066	268953	+	NEPG_00845	295
NW_013524647.1	269276	270505	-	NEPG_00846	409
NW_013524647.1	270851	271498	-	NEPG_00847	215
NW_013524647.1	271444	271803	+	NEPG_00848	119
NW_013524647.1	271827	272426	+	NEPG_00849	199
NW_013524647.1	272684	273940	+	NEPG_00850	418
NW_013524647.1	274068	274634	-	NEPG_00851	188
NW_013524647.1	274687	276852	+	NEPG_00852	721
NW_013524647.1	277824	278060	+	NEPG_00853	78
NW_013524647.1	278126	279820	+	NEPG_00854	564
NW_013524647.1	279808	281364	+	NEPG_00855	518
NW_013524647.1	282052	284019	-	NEPG_00856	655
NW_013524647.1	284692	286098	+	NEPG_00857	468
NW_013524647.1	286132	286800	+	NEPG_00858	222
NW_013524647.1	287269	288300	-	NEPG_00859	343
NW_013524647.1	288326	289375	+	NEPG_00860	349
NW_013524647.1	289736	290965	-	NEPG_00861	409
NW_013524647.1	290999	291163	+	NEPG_00862	54
NW_013524647.1	291117	293747	+	NEPG_00863	876
NW_013524647.1	294069	294803	-	NEPG_00864	244
NW_013524647.1	294832	295203	+	NEPG_00865	123
NW_013524647.1	295649	296773	-	NEPG_00866	374
NW_013524647.1	296995	297828	-	NEPG_00867	277
NW_013524647.1	298255	300810	-	NEPG_00868	851
NW_013524647.1	303251	304408	+	NEPG_00869	385
NW_013524647.1	304619	305140	-	NEPG_00870	173
NW_013524647.1	305181	306524	-	NEPG_00871	447
NW_013524647.1	306836	307709	+	NEPG_00872	290
NW_013524647.1	307887	308357	+	NEPG_00873	156
NW_013524647.1	308434	308832	+	NEPG_00874	132
NW_013524647.1	308900	309385	+	NEPG_00875	161
NW_013524647.1	309385	310479	+	NEPG_00876	364
NW_013524647.1	311271	311918	+	NEPG_00877	215
NW_013524647.1	311984	312310	-	NEPG_00878	108
NW_013524647.1	312780	313085	+	NEPG_00879	101
NW_013524647.1	313120	313485	+	NEPG_00880	121
NW_013524647.1	313863	314144	-	NEPG_00881	93
NW_013524647.1	314200	314631	-	NEPG_00882	143
NW_013524647.1	314850	315458	+	NEPG_00883	202
NW_013524647.1	315557	317206	-	NEPG_00884	549
NW_013524647.1	317851	318747	+	NEPG_00885	298
NW_013524647.1	318828	319142	+	NEPG_00886	104
NW_013524647.1	319200	319808	+	NEPG_00887	202
NW_013524647.1	320065	320526	-	NEPG_00888	153
NW_013524647.1	320822	321136	-	NEPG_00889	104
NW_013524647.1	321524	321847	+	NEPG_00890	107
NW_013524647.1	322169	323542	+	NEPG_00891	457
NW_013524647.1	323940	325214	+	NEPG_00892	424
NW_013524647.1	325781	328315	+	NEPG_00893	844
NW_013524647.1	329197	329736	+	NEPG_00894	179
NW_013524647.1	329699	331798	+	NEPG_00895	699
NW_013524647.1	332143	332370	+	NEPG_00896	75
NW_013524647.1	332596	333396	+	NEPG_00897	267
NW_013524647.1	335439	337283	+	NEPG_00898	614
NW_013524647.1	337578	340493	-	NEPG_00899	971
NW_013524647.1	341003	341167	+	NEPG_00900	54
NW_013524647.1	341317	341598	-	NEPG_00901	93
NW_013524647.1	342247	342963	+	NEPG_00902	238
NW_013524647.1	343287	344126	-	NEPG_00903	279
NW_013524647.1	344132	344488	+	NEPG_00904	118
NW_013524647.1	344954	347827	+	NEPG_00905	957
NW_013524647.1	348235	348723	-	NEPG_00906	162
NW_013524647.1	349282	350202	+	NEPG_00907	306
NW_013524647.1	351246	351800	-	NEPG_00908	184
NW_013524647.1	351911	352558	-	NEPG_00909	215
NW_013524647.1	354083	354499	+	NEPG_00910	138
NW_013524647.1	354766	356109	-	NEPG_00911	447
NW_013524647.1	356870	357778	+	NEPG_00912	302
NW_013524647.1	358686	359426	-	NEPG_00913	246
NW_013524647.1	359470	360198	+	NEPG_00914	242
NW_013524647.1	360217	360408	-	NEPG_00915	63
NW_013524647.1	360730	361965	+	NEPG_00916	411
NW_013524647.1	362327	363631	+	NEPG_00917	434
NW_013524647.1	363799	364584	+	NEPG_00918	261
NW_013524647.1	364882	365481	+	NEPG_00919	199
NW_013524647.1	365579	365860	-	NEPG_00920	93
NW_013524647.1	365912	366244	-	NEPG_00921	110
NW_013524647.1	366378	367004	-	NEPG_00922	208
NW_013524647.1	367258	368085	-	NEPG_00923	275
NW_013524647.1	369118	369465	-	NEPG_00924	115
NW_013524647.1	369548	369958	-	NEPG_00925	136
NW_013524647.1	370533	370877	+	NEPG_00926	114
NW_013524647.1	370924	371514	-	NEPG_00927	196
NW_013524647.1	372203	373678	-	NEPG_00928	491
NW_013524647.1	374353	375363	+	NEPG_00929	336
NW_013524647.1	375719	376117	-	NEPG_00930	132
NW_013524647.1	376606	377076	-	NEPG_00931	156
NW_013524647.1	377064	377363	-	NEPG_00932	99
NW_013524647.1	377645	378352	+	NEPG_00933	235
NW_013524647.1	379083	379805	-	NEPG_00934	240
NW_013524647.1	380272	380901	-	NEPG_00935	209
NW_013524647.1	380813	381943	-	NEPG_00936	376
NW_013524647.1	382365	383072	+	NEPG_00937	235
NW_013524647.1	383153	385240	-	NEPG_00938	695
NW_013524647.1	386021	387781	+	NEPG_00939	586
NW_013524647.1	388162	388371	+	NEPG_00940	69
NW_013524647.1	389442	390425	-	NEPG_00941	327
NW_013524647.1	390665	391312	-	NEPG_00942	215
NW_013524647.1	391614	392327	-	NEPG_00943	237
NW_013524647.1	393045	397331	+	NEPG_00944	1428
NW_013524647.1	398055	399266	-	NEPG_00945	403
NW_013524647.1	399294	400316	+	NEPG_00946	340
NW_013524647.1	400608	402347	+	NEPG_00947	579
NW_013524647.1	402720	403295	-	NEPG_00948	191
NW_013524647.1	404118	405809	-	NEPG_00949	563
NW_013524647.1	406307	407476	+	NEPG_00950	389
NW_013524647.1	407760	408302	+	NEPG_00951	180
NW_013524647.1	408367	410334	-	NEPG_00952	655
NW_013524647.1	410467	411399	-	NEPG_00953	310
NW_013524647.1	411495	412052	-	NEPG_00954	185
NW_013524647.1	412078	412392	-	NEPG_00955	104
NW_013524647.1	412455	414050	+	NEPG_00956	531
NW_013524647.1	414424	414774	+	NEPG_00957	116
NW_013524647.1	415129	415611	-	NEPG_00958	160
NW_013524647.1	415916	416836	-	NEPG_00959	306
NW_013524647.1	417460	417957	-	NEPG_00960	165
NW_013524647.1	418094	418471	+	NEPG_00961	125
NW_013524647.1	418485	419822	+	NEPG_00962	445
NW_013524647.1	420004	420780	-	NEPG_00963	258
NW_013524647.1	421317	421640	+	NEPG_00964	107
NW_013524647.1	422027	422845	-	NEPG_00965	272
NW_013524647.1	422900	423103	+	NEPG_00966	67
NW_013524647.1	423445	424260	-	NEPG_00967	271
NW_013524647.1	424272	426305	+	NEPG_00968	677
NW_013524647.1	426359	427144	+	NEPG_00969	261
NW_013524647.1	427303	429012	-	NEPG_00970	569
NW_013524647.1	429072	429893	+	NEPG_00971	273
NW_013524647.1	430253	430987	-	NEPG_00972	244
NW_013524647.1	431017	431379	+	NEPG_00973	120
NW_013524647.1	433217	436270	+	NEPG_00975	1017
NW_013524647.1	436454	439372	-	NEPG_00976	972
NW_013524647.1	439477	440445	+	NEPG_00977	322
NW_013524647.1	441036	442493	+	NEPG_00978	485
NW_013524647.1	442997	444802	-	NEPG_00979	601
NW_013524647.1	444962	445873	-	NEPG_00980	303
NW_013524647.1	445890	446465	-	NEPG_00981	191
NW_013524647.1	446927	447253	-	NEPG_00982	108
NW_013524647.1	447446	450316	-	NEPG_00983	956
NW_013524647.1	451340	452461	+	NEPG_00984	373
NW_013524647.1	452774	453373	+	NEPG_00985	199
NW_013524647.1	453467	453913	+	NEPG_00986	148
NW_013524647.1	454432	455610	-	NEPG_00987	392
NW_013524647.1	457257	458096	+	NEPG_00988	279
NW_013524647.1	459854	460174	+	NEPG_00989	106
NW_013524647.1	460288	460560	+	NEPG_00990	90
NW_013524647.1	460886	462670	+	NEPG_00991	594
NW_013524647.1	463236	464093	+	NEPG_00992	285
NW_013524647.1	464225	466855	-	NEPG_00993	876
NW_013524647.1	466905	467666	+	NEPG_00994	253
NW_013524647.1	467706	468275	-	NEPG_00995	189
NW_013524647.1	468837	469403	-	NEPG_00996	188
NW_013524647.1	469435	470799	+	NEPG_00997	454
NW_013524647.1	471466	472551	-	NEPG_00998	361
NW_013524647.1	473189	475273	-	NEPG_00999	694
NW_013524647.1	475672	476862	+	NEPG_01000	396
NW_013524647.1	476965	477243	+	NEPG_01001	92
NW_013524647.1	477868	478638	-	NEPG_01002	256
NW_013524647.1	478654	479169	+	NEPG_01003	171
NW_013524647.1	480005	481456	+	NEPG_01004	483
NW_013524647.1	481605	483425	-	NEPG_01005	606
NW_013524647.1	483461	484573	+	NEPG_01006	370
NW_013524647.1	485279	485653	-	NEPG_01007	124
NW_013524647.1	486689	488119	-	NEPG_01008	476
NW_013524647.1	488352	488894	-	NEPG_01009	180
NW_013524647.1	489926	490768	-	NEPG_01010	280
NW_013524647.1	491094	491924	+	NEPG_01011	276
NW_013524647.1	492106	492729	+	NEPG_01012	207
NW_013524647.1	493776	494627	+	NEPG_01013	283
NW_013524647.1	494607	494996	-	NEPG_01014	129
NW_013524647.1	495487	495897	-	NEPG_01015	136
NW_013524647.1	496560	497879	+	NEPG_01016	439
NW_013524647.1	498035	498466	-	NEPG_01017	143
NW_013524647.1	498565	499269	-	NEPG_01018	234
NW_013524647.1	499465	500391	-	NEPG_01019	308
NW_013524647.1	500882	501292	+	NEPG_01020	136
NW_013524647.1	501766	502614	+	NEPG_01021	282
NW_013524647.1	503433	503674	+	NEPG_01022	79
NW_013524647.1	503944	505836	+	NEPG_01023	630
NW_013524647.1	506235	506444	+	NEPG_01024	69
NW_013524647.1	506773	507060	-	NEPG_01025	95
NW_013524647.1	507059	508267	+	NEPG_01026	402
NW_013524647.1	508478	508990	+	NEPG_01027	170
NW_013524647.1	509289	510539	+	NEPG_01028	416
NW_013524647.1	510598	512316	+	NEPG_01029	572
NW_013524647.1	512474	514030	+	NEPG_01030	518
NW_013524647.1	514107	515050	+	NEPG_01031	313
NW_013524647.1	515092	516429	+	NEPG_01032	445
NW_013524647.1	516707	517279	+	NEPG_01033	190
NW_013524647.1	517866	518249	+	NEPG_01034	127
NW_013524647.1	518695	518898	-	NEPG_01035	67
NW_013524647.1	518912	519748	+	NEPG_01036	278
NW_013524647.1	520132	520564	+	NEPG_01037	143
NW_013524647.1	520671	521888	-	NEPG_01038	405
